PolicyId,AgeConducteur,SexeConducteur,StatutMatrimonial,BonusMalus,FrequencePaiement,CodeProfession,AgeVehicule,ClasseVehicule,PuissanceVehicule,CarburantVehicule,UsageVehicule,Garage,Region,PrimeCommerciale
90168363.100a,35.0,M,null,50.0,Half-yearly,null,13.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Headquarters,247.9
90154269.100b,27.0,F,null,80.0,Half-yearly,null,5.0,Cheaper,P10,Diesel,Private+trip to office,Street,Center,360.6
90190972.100a,24.0,M,null,80.0,Annual,null,3.0,Cheapest,P10,Diesel,Private+trip to office,Opened collective parking,Center,699.6
90106306.101a,49.0,M,Cohabiting,50.0,Half-yearly,Craftsman,10.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,287.0
90111252.10b,29.0,M,Cohabiting,64.0,Monthly,Public employee,8.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Paris area,291.3
90104540.101a,32.0,F,Married,51.0,Annual,Private employee,5.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Center,334.6
90111495.101b,47.0,F,Single,50.0,Half-yearly,Private employee,3.0,Cheaper,P10,Regular,Private+trip to office,Closed zbox,Center,415.8
90191107.100a,57.0,F,null,52.0,Annual,null,3.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Center,243.9
90108549.100a,34.0,M,Cohabiting,90.0,Half-yearly,Private employee,12.0,Cheapest,P8,Regular,Private+trip to office,Closed collective parking,Center,276.2
90127267.101a,33.0,M,Cohabiting,56.99999999999999,Half-yearly,Public employee,3.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Center,405.9
90187940.100a,35.0,F,null,50.0,Annual,null,9.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Headquarters,261.8
90141266.101a,45.0,M,null,50.0,Annual,null,10.0,Medium high,P14,Diesel,Private+trip to office,Street,Paris area,420.0
90151556.100b,22.0,F,null,85.0,Half-yearly,null,6.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Paris area,441.3
90116548.100a,28.0,M,Widowed,60.0,Half-yearly,Public employee,0.0,Cheaper,P13,Diesel,Private+trip to office,Street,Center,760.0
90158852.100b,34.0,M,null,51.0,Annual,null,2.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,Center,591.6
90110149.100a,47.0,F,Single,53.0,Monthly,Other,0.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,367.2
90125786.101b,31.0,M,Divorced,80.0,Half-yearly,Private employee,8.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Center,273.2
90190027.100a,38.0,M,null,76.0,Annual,null,8.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Headquarters,335.3
90159261.100b,37.0,F,null,51.0,Half-yearly,null,12.0,Cheaper,P10,Diesel,Private+trip to office,Opened collective parking,Center,273.9
90112488.101a,57.0,M,Single,50.0,Half-yearly,Other,11.0,Cheapest,P10,Regular,Private+trip to office,Street,Center,329.6
90127905.101a,35.0,M,Cohabiting,60.0,Half-yearly,Public employee,8.0,Medium low,P13,Diesel,Private+trip to office,Closed zbox,Center,375.4
90148490.102a,30.0,M,null,80.0,Monthly,null,14.0,Cheapest,P8,Regular,Private+trip to office,Street,Paris area,298.0
90147912.100a,26.0,M,null,80.0,Half-yearly,null,12.0,Cheapest,P9,Regular,Private+trip to office,Closed collective parking,Paris area,343.5
90111560.101b,67.0,M,Cohabiting,50.0,Annual,Public employee,2.0,Medium,P14,Diesel,Private+trip to office,Closed collective parking,Center,582.0
90149578.100a,46.0,M,null,51.0,Annual,null,12.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Center,194.5
90164494.100a,48.0,F,null,50.0,Annual,null,19.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,199.3
90132703.100b,45.0,M,null,50.0,Half-yearly,null,0.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,433.6
90117849.101b,47.0,F,Cohabiting,50.0,Annual,Retiree,0.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Paris area,397.3
90151478.100a,45.0,F,null,50.0,Annual,null,8.0,Cheapest,P7,Regular,Private+trip to office,Street,South West,157.7
90160017.100a,64.0,M,null,65.0,Half-yearly,null,3.0,Cheaper,P12,Diesel,Private+trip to office,Closed collective parking,Paris area,612.7
90148060.100a,25.0,F,null,76.0,Half-yearly,null,7.0,Cheaper,P10,Diesel,Private+trip to office,Closed zbox,South West,448.0
90170847.101a,28.0,F,null,85.0,Annual,null,12.0,Cheaper,P8,Regular,Private+trip to office,Opened collective parking,Center,215.5
90101247.101a,44.0,F,Married,85.0,Annual,Public employee,9.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Paris area,475.4
90158109.100a,30.0,F,null,50.0,Annual,null,5.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,Center,255.5
1000933.100a,37.0,M,Cohabiting,60.0,Half-yearly,Private employee,8.0,Cheaper,P11,Diesel,Private+trip to office,Street,Headquarters,334.8
90124697.101a,42.0,M,Cohabiting,50.0,Half-yearly,Private employee,2.0,Medium low,P13,Diesel,Private+trip to office,Closed collective parking,Headquarters,747.8
90108093.101a,29.0,M,Single,72.0,Half-yearly,Private employee,14.0,Cheap,P14,Regular,Private+trip to office,Closed zbox,Center,445.2
90133206.101a,36.0,F,null,57.99999999999999,Quarterly,null,6.0,Medium,P13,Diesel,Private+trip to office,Closed zbox,Paris area,399.0
90127301.101b,47.0,M,Cohabiting,50.0,Half-yearly,Public employee,9.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,363.9
90184971.100a,28.0,F,null,64.0,Quarterly,null,5.0,Cheapest,P10,Diesel,Private+trip to office,Closed zbox,Center,404.2
90127801.100a,32.0,M,Cohabiting,60.0,Annual,Private employee,6.0,Medium,P15,Diesel,Private+trip to office,Closed zbox,Center,507.2
90160120.100a,24.0,M,null,95.0,Half-yearly,null,13.0,Cheapest,P8,Regular,Private+trip to office,Street,Paris area,367.0
90102532.101a,43.0,M,Cohabiting,50.0,Half-yearly,Private employee,3.0,Medium,P14,Regular,Private+trip to office,Closed zbox,Paris area,707.6
90132319.100b,35.0,M,null,56.99999999999999,Half-yearly,null,8.0,Cheaper,P11,Regular,Private+trip to office,Closed collective parking,Paris area,267.4
90191770.101a,30.0,M,null,95.0,Half-yearly,null,9.0,Cheaper,P9,Regular,Private+trip to office,Opened collective parking,Paris area,517.0
90127658.100a,74.0,F,Cohabiting,50.0,Annual,Private employee,10.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Center,215.6
90147391.100b,29.0,F,null,76.0,Half-yearly,null,7.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,458.2
90165925.101b,53.0,M,null,56.00000000000001,Half-yearly,null,42.0,Cheap,P13,Diesel,Private+trip to office,Opened collective parking,Headquarters,409.0
90134790.100a,42.0,M,null,56.00000000000001,Half-yearly,null,6.0,Expensive,P15,Regular,Private+trip to office,Closed zbox,Paris area,399.3
90125571.101a,40.0,M,Married,50.0,Annual,Private employee,11.0,Medium high,P14,Diesel,Private+trip to office,Closed collective parking,Center,226.3
90109519.102c,44.0,M,Cohabiting,54.0,Half-yearly,Private employee,10.0,Cheaper,P9,Diesel,Private+trip to office,Closed collective parking,Center,169.8
90136854.100a,33.0,M,null,50.0,Half-yearly,null,12.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,304.0
90148523.100a,44.0,M,null,62.0,Half-yearly,null,9.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,Headquarters,481.6
4.103a,23.0,M,Single,95.0,Monthly,Other,10.0,Cheapest,P10,Diesel,Private+trip to office,Closed collective parking,Headquarters,495.0
90152027.101a,84.0,M,null,50.0,Annual,null,2.0,Medium,P14,Regular,Private+trip to office,Closed zbox,Headquarters,742.9
80100261.101a,46.0,M,Single,50.0,Half-yearly,Other,13.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,265.4
90132216.100b,54.0,M,null,63.0,Half-yearly,null,2.0,Cheaper,P11,Diesel,Private+trip to office,Closed zbox,Center,430.5
90164535.101b,29.0,M,null,56.99999999999999,Annual,null,4.0,Medium low,P14,Diesel,Private+trip to office,Closed zbox,Center,810.3
90152890.100a,30.0,F,null,60.0,Half-yearly,null,7.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,Headquarters,391.6
90127665.101a,46.0,M,Cohabiting,62.0,Half-yearly,Retiree,6.0,Cheaper,P11,Diesel,Private+trip to office,Closed zbox,Center,227.0
90126995.101a,38.0,F,Single,50.0,Half-yearly,Private employee,13.0,Cheaper,P9,Regular,Private+trip to office,Street,Center,158.0
90126488.100a,27.0,M,Cohabiting,80.0,Annual,Retiree,8.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Paris area,497.6
90130056.101a,69.0,M,Married,50.0,Half-yearly,Private employee,4.0,Expensive,P16,Regular,Private+trip to office,Closed zbox,Headquarters,764.0
90114542.101a,40.0,F,Married,50.0,Half-yearly,Private employee,2.0,Cheaper,P12,Regular,Private+trip to office,Closed collective parking,Center,443.5
90121649.102a,25.0,M,Married,100.0,Half-yearly,Public employee,12.0,Cheapest,P11,Regular,Private+trip to office,Closed collective parking,Center,482.2
90129378.100a,20.0,F,Cohabiting,90.0,Quarterly,Other,10.0,Cheaper,P10,Diesel,Private+trip to office,Closed zbox,Center,499.6
90148812.100a,40.0,M,null,51.0,Half-yearly,null,4.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,504.8
1003108.101a,33.0,F,Married,54.0,Half-yearly,Private employee,15.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Headquarters,177.1
90109725.101a,46.0,M,Cohabiting,50.0,Annual,Private employee,11.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,276.8
90159279.100a,40.0,M,null,95.0,Quarterly,null,17.0,Medium low,P12,Diesel,Private+trip to office,Opened collective parking,Center,446.4
90103758.10a,42.0,M,Married,50.0,Annual,Private employee,7.0,Expensive,P15,Diesel,Private+trip to office,Closed zbox,Center,570.1
90153399.100a,48.0,M,null,50.0,Annual,null,10.0,Cheaper,P10,Regular,Private+trip to office,Closed zbox,Center,491.9
90151718.100a,35.0,M,null,56.99999999999999,Half-yearly,null,8.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Paris area,299.3
60200284.10a,40.0,M,Cohabiting,50.0,Annual,Public employee,10.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,213.3
90156599.100a,50.0,M,null,50.0,Annual,null,4.0,Medium high,P15,Diesel,Private+trip to office,Closed zbox,South West,536.6
90146850.100a,40.0,M,null,50.0,Annual,null,10.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,371.0
90164506.100a,41.0,M,null,55.00000000000001,Annual,null,5.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,Center,418.4
90105227.101a,34.0,F,Married,62.0,Half-yearly,Public employee,6.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Paris area,394.2
90181664.100a,47.0,F,null,50.0,Half-yearly,null,10.0,Cheapest,P10,Regular,Private+trip to office,Closed collective parking,Headquarters,440.6
90132559.100a,49.0,M,null,71.0,Half-yearly,null,12.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Center,260.4
90186954.101d,60.0,M,null,85.0,Half-yearly,null,15.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Center,308.3
90150426.100a,38.0,F,null,56.99999999999999,Half-yearly,null,3.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,272.6
90148011.100b,21.0,F,null,90.0,Half-yearly,null,6.0,Cheapest,P10,Diesel,Private+trip to office,Closed collective parking,Center,342.8
90188979.100e,31.0,F,null,90.0,Half-yearly,null,11.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Center,314.8
90108518.101a,48.0,M,Married,50.0,Annual,Private employee,6.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Center,489.0
90190868.100a,25.0,F,null,72.0,Half-yearly,null,15.0,Cheaper,P11,Diesel,Private+trip to office,Closed zbox,Center,175.7
90166196.101a,54.0,M,null,50.0,Annual,null,9.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,South West,149.6
90114445.101c,39.0,M,Cohabiting,55.00000000000001,Half-yearly,Private employee,22.0,Medium low,P13,Regular,Private+trip to office,Closed zbox,Center,329.4
80200255.100a,33.0,F,Cohabiting,50.0,Half-yearly,Private employee,5.0,Cheaper,P11,Diesel,Private+trip to office,Closed collective parking,Center,372.0
90159596.100b,53.0,M,null,50.0,Half-yearly,null,13.0,Cheap,P12,Regular,Private+trip to office,Street,Center,215.6
90186793.100a,26.0,F,null,85.0,Half-yearly,null,9.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Center,346.2
90158155.101b,41.0,M,null,85.0,Half-yearly,null,5.0,Cheaper,P12,Diesel,Private+trip to office,Opened collective parking,Paris area,638.7
90103801.100a,30.0,M,Cohabiting,68.0,Half-yearly,Private employee,6.0,Medium low,P15,Regular,Private+trip to office,Opened collective parking,Center,963.4
90129472.100a,36.0,M,Cohabiting,50.0,Annual,Private employee,7.0,Medium high,P16,Regular,Private+trip to office,Closed collective parking,Headquarters,570.1
90164638.100a,35.0,F,null,76.0,Half-yearly,null,19.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,South West,266.8
90129182.102a,57.0,M,Cohabiting,50.0,Half-yearly,Public employee,10.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Paris area,270.4
90161184.100b,31.0,M,null,60.0,Quarterly,null,2.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Center,411.8
90108912.101a,46.0,F,Married,50.0,Half-yearly,Other,8.0,Medium,P14,Regular,Private+trip to office,Closed collective parking,Center,505.1
90110437.101b,76.0,M,Cohabiting,50.0,Annual,Private employee,12.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Center,213.6
90152215.101a,31.0,M,null,56.99999999999999,Annual,null,7.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Center,282.6
90162898.100b,52.0,F,null,50.0,Annual,null,12.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Center,188.4
90147626.100b,32.0,M,null,68.0,Half-yearly,null,0.0,Cheapest,P10,Regular,Private+trip to office,Closed collective parking,South West,423.0
90154665.101b,38.0,M,null,50.0,Half-yearly,null,0.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,542.5
90181462.101b,47.0,M,null,50.0,Annual,null,4.0,Medium low,P14,Diesel,Private+trip to office,Closed zbox,Headquarters,525.7
90130877.100c,45.0,M,Single,50.0,Half-yearly,Private employee,6.0,Medium high,P15,Regular,Private+trip to office,Closed zbox,South West,333.0
90154978.100a,31.0,M,null,72.0,Half-yearly,null,15.0,Cheapest,P7,Regular,Private+trip to office,Closed zbox,Center,353.7
90158055.100a,34.0,F,null,50.0,Half-yearly,null,8.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Center,207.7
90107853.101b,30.0,M,Single,70.0,Annual,Other,4.0,Medium,P15,Diesel,Private+trip to office,Closed zbox,Center,728.8
90159364.100c,42.0,F,null,50.0,Annual,null,16.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Center,252.4
90148389.101b,45.0,M,null,50.0,Annual,null,7.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Center,192.4
90146010.100a,47.0,M,null,73.0,Annual,null,6.0,Cheaper,P11,Regular,Private+trip to office,Street,Headquarters,477.2
90137753.100a,41.0,F,null,50.0,Half-yearly,null,6.0,Medium,P15,Regular,Private+trip to office,Closed zbox,South West,770.9
90109143.102a,57.0,F,Cohabiting,70.0,Annual,Private employee,6.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,384.8
90117556.100a,40.0,F,Cohabiting,50.0,Half-yearly,Private employee,8.0,Cheap,P12,Diesel,Professional,Street,Center,489.0
90103607.100a,52.0,M,Cohabiting,50.0,Half-yearly,Private employee,2.0,Medium,P14,Regular,Private+trip to office,Closed zbox,Paris area,690.0
90125997.102a,57.0,F,Single,50.0,Half-yearly,Private employee,26.0,Cheapest,P9,Regular,Private+trip to office,Closed collective parking,Center,199.2
90172181.100b,47.0,F,null,55.00000000000001,Annual,null,2.0,Cheapest,P10,Regular,Private+trip to office,Street,Headquarters,434.0
90145829.100a,40.0,F,null,95.0,Quarterly,null,15.0,Cheap,P11,Regular,Private+trip to office,Closed collective parking,South West,485.4
90133978.100a,21.0,F,null,90.0,Half-yearly,null,1.0,Cheapest,P9,Regular,Private+trip to office,Closed collective parking,Center,677.8
90181031.101b,30.0,F,null,72.0,Half-yearly,null,10.0,Cheap,P11,Diesel,Private+trip to office,Opened collective parking,Headquarters,347.7
90149682.100a,30.0,M,null,64.0,Half-yearly,null,12.0,Medium low,P13,Diesel,Private+trip to office,Closed zbox,Headquarters,315.8
90106122.102b,51.0,M,Cohabiting,50.0,Half-yearly,Public employee,11.0,Cheap,P13,Regular,Private+trip to office,Opened collective parking,Paris area,265.3
90134933.100b,34.0,M,null,68.0,Half-yearly,null,10.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Paris area,522.0
90145161.100a,37.0,M,null,50.0,Half-yearly,null,21.0,Cheaper,P10,Diesel,Private+trip to office,Street,Center,164.6
90133401.100a,52.0,M,null,50.0,Annual,null,0.0,Cheapest,P10,Regular,Private+trip to office,Opened collective parking,Center,406.7
90147698.100a,40.0,F,null,50.0,Quarterly,null,7.0,Cheapest,P7,Regular,Private+trip to office,Opened collective parking,South West,237.2
90149663.101a,45.0,M,null,57.99999999999999,Annual,null,3.0,Medium high,P14,Diesel,Professional,Street,Headquarters,889.2
90156662.100a,31.0,M,null,100.0,Half-yearly,null,2.0,Cheaper,P10,Regular,Private+trip to office,Closed zbox,Center,576.4
90169840.100b,33.0,M,null,51.0,Half-yearly,null,5.0,Cheaper,P11,Diesel,Private+trip to office,Opened collective parking,Center,399.7
90168783.100b,44.0,F,null,50.0,Annual,null,10.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Paris area,239.0
90187937.100c,25.0,M,null,85.0,Half-yearly,null,8.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,South West,635.9
90158812.100a,27.0,F,null,72.0,Half-yearly,null,12.0,Cheaper,P10,Regular,Private+trip to office,Closed collective parking,Center,273.7
90112492.102b,30.0,M,Single,56.99999999999999,Half-yearly,Private employee,12.0,Cheaper,P10,Diesel,Private+trip to office,Closed zbox,Center,150.5
90107165.100b,37.0,M,Cohabiting,56.00000000000001,Half-yearly,Public employee,20.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,Center,165.4
90131424.103a,53.0,M,null,50.0,Half-yearly,null,15.0,Cheaper,P10,Diesel,Private+trip to office,Closed zbox,Center,187.2
90158994.100a,37.0,F,null,68.0,Half-yearly,null,3.0,Cheaper,P12,Diesel,Private+trip to office,Street,South West,431.4
90104610.100a,50.0,M,Single,50.0,Half-yearly,Private employee,20.0,Medium,P13,Regular,Private+trip to office,Closed zbox,Center,151.5
90125960.100c,45.0,F,Cohabiting,52.0,Annual,Public employee,20.0,Cheaper,P9,Regular,Private+trip to office,Street,Center,186.3
90106754.10a,31.0,M,Married,62.0,Half-yearly,Private employee,10.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,236.3
90160922.100b,38.0,M,null,90.0,Half-yearly,null,14.0,Cheap,P12,Regular,Private+trip to office,Street,South West,494.6
90156700.100a,23.0,M,null,90.0,Quarterly,null,5.0,Cheaper,P11,Diesel,Private+trip to office,Closed zbox,Center,554.5
90133989.100b,39.0,F,null,69.0,Annual,null,9.0,Cheapest,P11,Diesel,Private+trip to office,Opened collective parking,Center,366.6
90112450.102a,37.0,F,Cohabiting,80.0,Annual,Private employee,10.0,Cheap,P13,Regular,Private+trip to office,Opened collective parking,Center,466.0
90138244.100a,59.0,F,null,64.0,Half-yearly,null,2.0,Cheapest,P10,Regular,Private+trip to office,Closed collective parking,Headquarters,468.6
90175813.100b,58.0,M,null,88.0,Half-yearly,null,5.0,Cheaper,P12,Diesel,Professional run,Street,Center,1784.2
90112553.101b,58.0,M,Single,50.0,Annual,Private employee,0.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,558.5
90157912.101a,42.0,F,null,50.0,Half-yearly,null,0.0,Cheapest,P10,Diesel,Private+trip to office,Closed collective parking,Center,383.4
1007304.100a,42.0,M,Married,64.0,Half-yearly,Private employee,14.0,Cheaper,P9,Regular,Private+trip to office,Closed zbox,Headquarters,222.5
90128066.101a,50.0,F,Cohabiting,50.0,Annual,Private employee,11.0,Cheapest,P7,Regular,Private+trip to office,Closed collective parking,Center,154.0
90125067.101b,33.0,F,Married,60.0,Half-yearly,Public employee,4.0,Cheapest,P9,Regular,Private+trip to office,Street,Paris area,493.0
90164619.100a,33.0,F,null,80.0,Half-yearly,null,0.0,Cheaper,P9,Regular,Private+trip to office,Closed zbox,South West,628.1
90146508.100a,36.0,M,null,50.0,Annual,null,11.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,157.2
90134822.101c,35.0,M,null,50.0,Annual,null,1.0,Cheapest,P10,Regular,Private+trip to office,Closed collective parking,Paris area,422.5
90156078.100a,28.0,M,null,68.0,Half-yearly,null,4.0,Cheaper,P12,Regular,Private+trip to office,Closed collective parking,Center,350.2
90134397.100a,48.0,F,null,50.0,Half-yearly,null,9.0,Cheapest,P9,Regular,Professional,Closed zbox,Center,191.4
90156863.101b,25.0,M,null,112.0,Quarterly,null,6.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,Center,2027.5
90127097.101b,39.0,M,Single,51.0,Half-yearly,Private employee,16.0,Cheaper,P11,Regular,Private+trip to office,Street,Center,189.9
90192757.100a,66.0,M,null,50.0,Annual,null,1.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Headquarters,407.1
90107959.100a,22.0,M,Widowed,90.0,Half-yearly,Private employee,10.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Center,560.3
90157777.100a,45.0,F,null,60.0,Quarterly,null,1.0,Cheapest,P10,Regular,Private+trip to office,Closed collective parking,Paris area,521.2
90127154.100a,47.0,F,Cohabiting,62.0,Half-yearly,Private employee,2.0,Medium low,P14,Diesel,Private+trip to office,Closed zbox,Center,675.1
80100016.101c,31.0,M,Cohabiting,60.0,Half-yearly,Private employee,7.0,Expensive,P13,Diesel,Private+trip to office,Closed zbox,Center,675.5
60100037.10a,49.0,F,Married,50.0,Annual,Private employee,4.0,Cheaper,P10,Diesel,Private+trip to office,Closed zbox,Center,307.7
90134583.100a,62.0,F,null,60.0,Quarterly,null,10.0,Cheaper,P12,Regular,Private+trip to office,Closed collective parking,Paris area,462.9
90106188.100b,29.0,F,Married,80.0,Half-yearly,Private employee,0.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,Center,413.8
90150394.100b,63.0,M,null,50.0,Annual,null,1.0,Medium,P15,Regular,Private+trip to office,Closed zbox,Center,581.4
90116484.100a,64.0,F,Cohabiting,50.0,Half-yearly,Public employee,13.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,153.2
90167752.101a,29.0,M,null,72.0,Quarterly,null,1.0,Cheap,P13,Diesel,Professional run,Closed collective parking,South West,1367.8
90154338.101b,33.0,F,null,60.0,Half-yearly,null,13.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,274.2
90163331.100c,32.0,M,null,72.0,Annual,null,11.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,173.8
90134663.100c,28.0,F,null,80.0,Half-yearly,null,9.0,Cheapest,P8,Regular,Private+trip to office,Street,Center,257.0
90146621.100b,32.0,M,null,50.0,Half-yearly,null,5.0,Expensive,P16,Regular,Private+trip to office,Closed zbox,Paris area,847.0
90135355.100a,50.0,F,null,50.0,Annual,null,7.0,Cheapest,P8,Regular,Private+trip to office,Closed collective parking,Center,412.2
90157628.102a,47.0,M,null,50.0,Annual,null,8.0,Cheaper,P10,Regular,Private+trip to office,Closed zbox,Center,158.7
1000764.10a,39.0,F,Cohabiting,62.0,Annual,Private employee,8.0,Cheaper,P9,Regular,Private+trip to office,Closed zbox,Headquarters,223.8
90132565.100b,43.0,M,null,72.0,Half-yearly,null,9.0,Cheaper,P9,Regular,Private+trip to office,Street,Center,365.3
90157149.100a,47.0,M,null,50.0,Annual,null,2.0,Medium high,P15,Diesel,Private+trip to office,Closed zbox,South West,599.2
90157507.100b,54.0,M,null,50.0,Half-yearly,null,8.0,Cheaper,P11,Diesel,Private+trip to office,Closed zbox,Center,360.6
90157963.100b,26.0,F,null,76.0,Half-yearly,null,2.0,Cheapest,P11,Regular,Private+trip to office,Closed collective parking,Paris area,743.1
90194052.100a,22.0,F,null,85.0,Half-yearly,null,12.0,Cheapest,P10,Regular,Private+trip to office,Opened collective parking,Headquarters,338.2
90191322.102a,28.0,M,null,64.0,Annual,null,11.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,Center,232.0
1003344.100b,72.0,M,Cohabiting,50.0,Half-yearly,Private employee,13.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Headquarters,172.6
90147399.100b,30.0,M,null,56.99999999999999,Annual,null,9.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,Center,212.6
90148516.100b,29.0,M,null,68.0,Half-yearly,null,6.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Paris area,287.4
90154239.100a,30.0,M,null,76.0,Annual,null,12.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,Center,241.7
90127900.102b,59.0,M,Cohabiting,50.0,Quarterly,Private employee,9.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,Center,171.6
90170587.100b,26.0,M,null,72.0,Half-yearly,null,10.0,Cheapest,P11,Regular,Private+trip to office,Opened collective parking,Center,375.0
70200102.10a,46.0,M,Married,57.99999999999999,Half-yearly,Public employee,11.0,Medium low,P15,Diesel,Private+trip to office,Closed zbox,Center,337.0
70203112.102a,38.0,M,Cohabiting,60.0,Annual,Public employee,11.0,Cheapest,P10,Regular,Private+trip to office,Opened collective parking,Paris area,181.8
90185473.100c,47.0,M,null,50.0,Annual,null,11.0,Cheaper,P10,Regular,Private+trip to office,Closed zbox,Headquarters,221.7
90153985.100b,45.0,M,null,73.0,Half-yearly,null,4.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,South West,645.1
90145572.100a,30.0,F,null,85.0,Annual,null,19.0,Cheapest,P5,Regular,Private+trip to office,Opened collective parking,South West,184.3
90149173.101a,35.0,M,null,68.0,Half-yearly,null,10.0,Cheapest,P10,Diesel,Private+trip to office,Street,Center,216.9
90128673.101a,38.0,F,Cohabiting,50.0,Annual,Private employee,3.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,202.7
90158420.101a,33.0,M,null,64.0,Half-yearly,null,6.0,Medium low,P13,Diesel,Private+trip to office,Street,Paris area,501.7
90117550.101b,30.0,M,Single,51.0,Annual,Private employee,2.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Center,339.5
90146210.100c,45.0,M,null,50.0,Half-yearly,null,4.0,Medium high,P15,Regular,Private+trip to office,Closed collective parking,Center,768.8
90168462.100a,52.0,M,null,60.0,Half-yearly,null,3.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Headquarters,538.4
90106924.100b,30.0,M,Divorced,100.0,Half-yearly,Retiree,10.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,537.7
90114038.100d,29.0,F,Cohabiting,72.0,Annual,Private employee,15.0,Cheaper,P10,Diesel,Private+trip to office,Opened collective parking,Center,263.4
90135077.100b,28.0,M,null,72.0,Half-yearly,null,10.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Center,330.4
